"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2017,1,1,3,2,"2017-01-03","WN",19393,"WN","N8322X",2397,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12889,1288903,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,1615,1617,2,2,0,0,"1600-1659",12,1629,1833,4,1815,1837,22,22,1,1,"1800-1859",0,"",0,300,320,304,1,1910,8,0,0,22,0,0,NA,NA,NA
2017,1,1,3,2,"2017-01-03","DL",19790,"DL","N983AT",869,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1617,1612,-5,0,0,-1,"1600-1659",15,1627,1748,6,1820,1754,-26,0,0,-2,"1800-1859",0,"",0,123,102,81,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,3,2,"2017-01-03","WN",19393,"WN","N607SW",446,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1630,1644,14,14,0,0,"1600-1659",12,1656,1820,15,1825,1835,10,10,0,0,"1800-1859",0,"",0,115,111,84,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,3,2,"2017-01-03","AA",19805,"AA","N957AA",2041,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14100,1410002,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,1820,1859,39,39,1,2,"1800-1859",20,1919,2008,5,1948,2013,25,25,1,1,"1900-1959",0,"",0,88,74,49,1,268,2,0,0,16,0,9,NA,NA,NA
2017,1,1,4,3,"2017-01-04","WN",19393,"WN","N7881A",4231,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,910,905,-5,0,0,-1,"0900-0959",11,916,1112,6,1135,1118,-17,0,0,-2,"1100-1159",0,"",0,145,133,116,1,834,4,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,4,3,"2017-01-04","WN",19393,"WN","N477WN",3504,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,925,926,1,1,0,0,"0900-0959",10,936,1106,6,1110,1112,2,2,0,0,"1100-1159",0,"",0,225,226,210,1,1290,6,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,4,3,"2017-01-04","AA",19805,"AA","N829AA",1950,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1025,1017,-8,0,0,-1,"1000-1059",16,1033,1141,11,1202,1152,-10,0,0,-1,"1200-1259",0,"",0,97,95,68,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,4,3,"2017-01-04","UA",19977,"UA","N425UA",590,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393004,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1045,1103,18,18,1,1,"1000-1059",14,1117,1126,4,1129,1130,1,1,0,0,"1100-1159",0,"",0,104,87,69,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,4,3,"2017-01-04","DL",19790,"DL","N936AT",1295,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1110,1105,-5,0,0,-1,"1100-1159",8,1113,1238,7,1305,1245,-20,0,0,-2,"1300-1359",0,"",0,115,100,85,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,4,3,"2017-01-04","UA",19977,"UA","N803UA",446,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393004,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1410,1402,-8,0,0,-1,"1400-1459",8,1410,1420,3,1459,1423,-36,0,0,-2,"1400-1459",0,"",0,109,81,70,1,413,2,NA,NA,NA,NA,NA,NA,NA,NA
